"Loss_Pct","Replicate","Seed","Status","Final_LGs","Retained_OGs","Error_Detail"
0.3,13,2030790,"SUCCESS",15,4436,NA
0.3,14,2030791,"SUCCESS",15,4435,NA
0.3,15,2030792,"SUCCESS",15,4463,NA
0.3,16,2030793,"SUCCESS",15,4454,NA
0.3,17,2030794,"SUCCESS",15,4423,NA
0.3,18,2030795,"SUCCESS",15,4465,NA
0.3,19,2030796,"SUCCESS",15,4472,NA
0.3,2,2030779,"SUCCESS",15,4432,NA
0.3,20,2030797,"SUCCESS",15,4442,NA
0.3,21,2030798,"SUCCESS",15,4456,NA
0.3,22,2030799,"SUCCESS",15,4461,NA
0.3,23,2030800,"SUCCESS",15,4464,NA
0.3,24,2030801,"SUCCESS",15,4450,NA
0.3,25,2030802,"SUCCESS",15,4473,NA
0.3,26,2030803,"SUCCESS",15,4441,NA
0.3,27,2030804,"SUCCESS",15,4438,NA
0.3,28,2030805,"SUCCESS",15,4445,NA
0.3,29,2030806,"SUCCESS",15,4409,NA
0.3,3,2030780,"SUCCESS",15,4444,NA
0.3,30,2030807,"SUCCESS",15,4433,NA
0.3,31,2030808,"SUCCESS",15,4442,NA
0.3,32,2030809,"SUCCESS",15,4449,NA
0.3,33,2030810,"SUCCESS",15,4426,NA
0.3,34,2030811,"SUCCESS",15,4424,NA
0.3,35,2030812,"SUCCESS",15,4476,NA
0.3,36,2030813,"SUCCESS",15,4459,NA
0.3,37,2030814,"SUCCESS",15,4467,NA
0.3,38,2030815,"SUCCESS",15,4461,NA
0.3,39,2030816,"SUCCESS",15,4431,NA
0.3,4,2030781,"SUCCESS",15,4460,NA
0.3,40,2030817,"SUCCESS",15,4459,NA
0.3,41,2030818,"SUCCESS",15,4450,NA
0.3,42,2030819,"SUCCESS",15,4459,NA
0.3,43,2030820,"SUCCESS",15,4482,NA
0.3,44,2030821,"SUCCESS",15,4452,NA
0.3,45,2030822,"SUCCESS",15,4435,NA
0.3,46,2030823,"SUCCESS",15,4440,NA
0.3,47,2030824,"SUCCESS",15,4456,NA
0.3,48,2030825,"SUCCESS",15,4457,NA
0.3,49,2030826,"SUCCESS",15,4466,NA
0.3,5,2030782,"SUCCESS",15,4449,NA
0.3,50,2030827,"SUCCESS",15,4462,NA
0.3,51,2030828,"SUCCESS",15,4463,NA
0.3,52,2030829,"SUCCESS",15,4425,NA
0.3,53,2030830,"SUCCESS",15,4449,NA
0.3,54,2030831,"SUCCESS",15,4428,NA
0.3,55,2030832,"SUCCESS",15,4428,NA
0.3,56,2030833,"SUCCESS",15,4439,NA
0.3,57,2030834,"SUCCESS",15,4437,NA
0.3,58,2030835,"SUCCESS",15,4495,NA
0.3,59,2030836,"SUCCESS",15,4450,NA
0.3,6,2030783,"SUCCESS",15,4436,NA
0.3,60,2030837,"SUCCESS",15,4449,NA
0.3,61,2030838,"SUCCESS",15,4427,NA
0.3,62,2030839,"SUCCESS",15,4396,NA
0.3,63,2030840,"SUCCESS",15,4446,NA
0.3,64,2030841,"SUCCESS",15,4447,NA
0.3,65,2030842,"SUCCESS",15,4448,NA
0.3,66,2030843,"SUCCESS",15,4470,NA
0.3,67,2030844,"SUCCESS",15,4457,NA
0.3,68,2030845,"SUCCESS",15,4435,NA
0.3,69,2030846,"SUCCESS",15,4420,NA
0.3,7,2030784,"SUCCESS",15,4445,NA
0.3,70,2030847,"SUCCESS",15,4452,NA
0.3,71,2030848,"SUCCESS",15,4474,NA
0.3,72,2030849,"SUCCESS",15,4423,NA
0.3,73,2030850,"SUCCESS",15,4433,NA
0.3,74,2030851,"SUCCESS",15,4479,NA
0.3,75,2030852,"SUCCESS",15,4426,NA
0.3,76,2030853,"SUCCESS",15,4484,NA
0.3,77,2030854,"SUCCESS",15,4451,NA
0.3,78,2030855,"SUCCESS",15,4451,NA
0.3,79,2030856,"SUCCESS",15,4461,NA
0.3,8,2030785,"SUCCESS",15,4448,NA
0.3,80,2030857,"SUCCESS",15,4448,NA
0.3,81,2030858,"SUCCESS",15,4469,NA
0.3,82,2030859,"SUCCESS",15,4458,NA
0.3,83,2030860,"SUCCESS",15,4464,NA
0.3,84,2030861,"SUCCESS",15,4465,NA
0.3,85,2030862,"SUCCESS",15,4419,NA
0.3,86,2030863,"SUCCESS",15,4416,NA
0.3,87,2030864,"SUCCESS",15,4449,NA
0.3,88,2030865,"SUCCESS",15,4394,NA
0.3,89,2030866,"SUCCESS",15,4475,NA
0.3,9,2030786,"SUCCESS",15,4443,NA
0.3,90,2030867,"SUCCESS",15,4461,NA
0.3,91,2030868,"SUCCESS",15,4426,NA
0.3,92,2030869,"SUCCESS",15,4419,NA
0.3,93,2030870,"SUCCESS",15,4449,NA
0.3,94,2030871,"SUCCESS",15,4456,NA
0.3,95,2030872,"SUCCESS",15,4454,NA
0.3,96,2030873,"SUCCESS",15,4480,NA
0.3,97,2030874,"SUCCESS",15,4461,NA
0.3,98,2030875,"SUCCESS",15,4462,NA
0.3,99,2030876,"SUCCESS",15,4462,NA
0.4,1,2040778,"SUCCESS",15,4097,NA
0.4,10,2040787,"SUCCESS",15,4107,NA
0.4,100,2040877,"SUCCESS",15,4116,NA
0.4,11,2040788,"SUCCESS",15,4129,NA
0.4,12,2040789,"SUCCESS",15,4110,NA
0.4,13,2040790,"SUCCESS",15,4097,NA
0.4,14,2040791,"SUCCESS",15,4123,NA
0.4,15,2040792,"SUCCESS",15,4119,NA
0.4,16,2040793,"SUCCESS",15,4107,NA
0.4,17,2040794,"SUCCESS",15,4096,NA
0.4,18,2040795,"SUCCESS",15,4113,NA
0.4,19,2040796,"SUCCESS",15,4148,NA
0.4,2,2040779,"SUCCESS",15,4096,NA
0.4,20,2040797,"SUCCESS",15,4138,NA
0.4,21,2040798,"SUCCESS",15,4152,NA
0.4,22,2040799,"SUCCESS",15,4114,NA
0.4,23,2040800,"SUCCESS",15,4166,NA
0.4,24,2040801,"SUCCESS",15,4104,NA
